STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2020
Arkansas,Crawford County,61948,63409
Arkansas,Crittenden County,50902,47616
Arkansas,Cross County,17870,16142
Arkansas,Dallas County,8116,6802
Arkansas,Desha County,13008,11110
Arkansas,Drew County,18509,17977
Arkansas,Faulkner County,113237,126919
Arkansas,Franklin County,18125,17897
Arkansas,Fulton County,12245,12381
Arkansas,Garland County,96024,99789
Arkansas,Grant County,17853,18449
Arkansas,Greene County,42090,45597
Arkansas,Hempstead County,22609,21253
Arkansas,Hot Spring County,32923,33787
Arkansas,Howard County,13789,13109
Arkansas,Independence County,36647,37757
Arkansas,Izard County,13696,13613
Arkansas,Jackson County,17997,16636
Arkansas,Jefferson County,77435,65377
Arkansas,Johnson County,25540,26513
Arkansas,Lafayette County,7645,6596
Arkansas,Lawrence County,17415,16410
Arkansas,Lee County,10424,8513
Arkansas,Lincoln County,14134,12944
Arkansas,Little River County,13171,12180
Arkansas,Logan County,22353,21410
Arkansas,Lonoke County,68356,73921
Arkansas,Madison County,15717,16644
Arkansas,Marion County,16653,16790
Arkansas,Miller County,43462,43177
Arkansas,Mississippi County,46480,40066
Arkansas,Monroe County,8149,6584
Arkansas,Montgomery County,9487,9006
Arkansas,Nevada County,8997,8099
Arkansas,Newton County,8330,7602
Arkansas,Ouachita County,26120,23167
Arkansas,Perry County,10445,10327
Arkansas,Phillips County,21757,17299
Arkansas,Pike County,11291,10643
Arkansas,Poinsett County,24583,23283
Arkansas,Polk County,20662,19707
Arkansas,Pope County,61754,64334
Arkansas,Prairie County,8715,7966
Arkansas,Pulaski County,382748,392980
Arkansas,Randolph County,17969,18247
Arkansas,St. Francis County,28258,24682
Arkansas,Saline County,107118,123968
Arkansas,Scott County,11233,10164
Arkansas,Searcy County,8195,7842
Arkansas,Sebastian County,125744,127590
Arkansas,Sevier County,17058,16702
Arkansas,Sharp County,17264,17424
Arkansas,Stone County,12394,12674
Arkansas,Union County,41639,38219
Arkansas,Van Buren County,17295,16541
Arkansas,Washington County,203065,243216
Arkansas,White County,77076,78729
Arkansas,Woodruff County,7260,6264
Arkansas,Yell County,22185,21181
California,Alameda County,1510271,1662323
California,Alpine County,1175,1119
California,Amador County,38091,40083
California,Butte County,220000,212744
California,Calaveras County,45578,46308
California,Colusa County,21419,21558
California,Contra Costa County,1049025,1152333
California,Del Norte County,28610,27968
California,El Dorado County,181058,192925
California,Fresno County,930450,1000918
California,Glenn County,28122,28283
California,Humboldt County,134623,134977
California,Imperial County,174528,180267
California,Inyo County,18546,18046
California,Kern County,839631,901362
California,Kings County,152982,152692
California,Lake County,64665,64479
California,Lassen County,34895,30016
California,Los Angeles County,9818605,9943046
California,Madera County,150865,157761
California,Marin County,252409,257332
California,Mariposa County,18251,17160
California,Mendocino County,87841,86061
California,Merced County,255793,279252
California,Modoc County,9686,8763
California,Mono County,14202,14534
California,Monterey County,415057,430906
California,Napa County,136484,135965
California,Nevada County,98764,99606
California,Orange County,3010232,3166857
California,Placer County,348432,402950
California,Plumas County,20007,18967
California,Riverside County,2189641,2489188
California,Sacramento County,1418788,1559146
California,San Benito County,55269,64055
California,San Bernardino County,2035210,2189183
California,San Diego County,3095313,3332427
California,San Francisco County,805235,866606
California,San Joaquin County,685306,767967
California,San Luis Obispo County,269637,282249
California,San Mateo County,718451,758308
California,Santa Barbara County,423895,444766
California,Santa Clara County,1781642,1907105
California,Santa Cruz County,262382,269925
California,Shasta County,177223,179027
California,Sierra County,3240,2920
California,Siskiyou County,44900,43245
California,Solano County,413344,446935
California,Sonoma County,483878,489819
California,Stanislaus County,514453,550081
California,Sutter County,94737,96385
California,Tehama County,63463,64494
California,Trinity County,13786,12216
California,Tulare County,442179,468680
California,Tuolumne County,55365,54515
California,Ventura County,823318,841387
California,Yolo County,200849,219728
California,Yuba County,72155,80160
Colorado,Adams County,441603,519883
Colorado,Alamosa County,15445,16180
Colorado,Arapahoe County,572003,657452
Colorado,Archuleta County,12084,14196
Colorado,Baca County,3788,3555
Colorado,Bent County,6499,5356
Colorado,Boulder County,294567,327171
Colorado,Broomfield County,55889,72236
Colorado,Chaffee County,17809,20661
Colorado,Cheyenne County,1836,1795
Colorado,Clear Creek County,9088,9586
Colorado,Conejos County,8256,8143
Colorado,Costilla County,3524,3921
Colorado,Crowley County,5823,5696
Colorado,Custer County,4255,5183
Colorado,Delta County,30952,31067
Colorado,Denver County,600158,735538
Colorado,Dolores County,2064,2096
Colorado,Douglas County,285465,360750
Colorado,Eagle County,52197,54929
Colorado,Elbert County,23086,27313
Colorado,El Paso County,622263,728310
Colorado,Fremont County,46824,47867
Colorado,Garfield County,56389,60366
Colorado,Gilpin County,5441,6235
Colorado,Grand County,14843,15794
Colorado,Gunnison County,15324,17593
Colorado,Hinsdale County,843,808
Colorado,Huerfano County,6711,6883
Colorado,Jackson County,1394,1389
Colorado,Jefferson County,534543,583283
Colorado,Kiowa County,1398,1458
Colorado,Kit Carson County,8270,7121
Colorado,Lake County,7310,7987
Colorado,La Plata County,51334,56564
Colorado,Larimer County,299630,360428
Colorado,Las Animas County,15507,14420
Colorado,Lincoln County,5467,5680
Colorado,Logan County,22709,21974
Colorado,Mesa County,146723,155603
Colorado,Mineral County,712,773
Colorado,Moffat County,13795,13144
Colorado,Montezuma County,25535,26408
Colorado,Montrose County,41276,43322
Colorado,Morgan County,28159,28941
Colorado,Otero County,18831,18201
Colorado,Ouray County,4436,5001
Colorado,Park County,16206,18955
Colorado,Phillips County,4442,4367
Colorado,Pitkin County,17148,17894
Colorado,Prowers County,12551,12106
Colorado,Pueblo County,159063,169823
Colorado,Rio Blanco County,6666,6342
Colorado,Rio Grande County,11982,11296
Colorado,Routt County,23509,25560
Colorado,Saguache County,6108,6938
Colorado,San Juan County,699,748
Colorado,San Miguel County,7359,8105
Colorado,Sedgwick County,2379,2260
Colorado,Summit County,27994,30631
Colorado,Teller County,23350,25529
Colorado,Washington County,4814,4875
Colorado,Weld County,252825,333983
Colorado,Yuma County,10043,10047
Connecticut,Fairfield County,916829,942426
Connecticut,Hartford County,894014,889226
Connecticut,Litchfield County,189927,179610
Connecticut,Middlesex County,165676,161657
Connecticut,New Haven County,862477,851948
Connecticut,New London County,274055,264999
Connecticut,Tolland County,152691,150600
Connecticut,Windham County,118428,116540
Delaware,Kent County,162310,183643
Delaware,New Castle County,538479,561531
Delaware,Sussex County,197145,241635
District of Columbia,District of Columbia,601723,712816
Florida,Alachua County,247336,271218
Florida,Baker County,27115,29566
Florida,Bay County,168852,171322
Florida,Bradford County,28520,28593
Florida,Brevard County,543376,608459
Florida,Broward County,1748066,1958105
Florida,Calhoun County,14625,14078
Florida,Charlotte County,159978,194711
Florida,Citrus County,141236,153010
Florida,Clay County,190865,221770
Florida,Collier County,321520,392973
Florida,Columbia County,67531,72654
Florida,DeSoto County,34862,38520
Florida,Dixie County,16422,17057
Florida,Duval County,864263,966728
Florida,Escambia County,297619,322364
Florida,Flagler County,95696,118451
Florida,Franklin County,11549,12201
Florida,Gadsden County,46389,45277
Florida,Gilchrist County,16939,18885
Florida,Glades County,12884,14198
Florida,Gulf County,15863,13534
Florida,Hamilton County,14799,14521
Florida,Hardee County,27731,26822
Florida,Hendry County,39140,42813
Florida,Hernando County,172778,198792
Florida,Highlands County,98786,106639
Florida,Hillsborough County,1229226,1497957
Florida,Holmes County,19927,19594
Florida,Indian River County,138028,162518
Florida,Jackson County,49746,46085
Florida,Jefferson County,14761,14543
Florida,Lafayette County,8870,8482
Florida,Lake County,297052,375492
Florida,Lee County,618754,790767
Florida,Leon County,275487,295460
Florida,Levy County,40801,42214
Florida,Liberty County,8365,8364
Florida,Madison County,19224,18707
Florida,Manatee County,322833,411219
Florida,Marion County,331298,373513
Florida,Martin County,146318,162088
Florida,Miami-Dade County,2496435,2707303
Florida,Monroe County,73090,73900
Florida,Nassau County,73314,91113
Florida,Okaloosa County,180822,212820
Florida,Okeechobee County,39996,42297
Florida,Orange County,1145956,1404396
Florida,Osceola County,268685,385315
Florida,Palm Beach County,1320134,1507600
Florida,Pasco County,464697,570412
Florida,Pinellas County,916542,976802
Florida,Polk County,602095,744552
Florida,Putnam County,74364,74815
Florida,St. Johns County,190039,278715
Florida,St. Lucie County,277789,337186
Florida,Santa Rosa County,151372,189139
Florida,Sarasota County,379448,443465
Florida,Seminole County,422718,474171
Florida,Sumter County,93420,139018
Florida,Suwannee County,41551,44851
Florida,Taylor County,22570,21600
Florida,Union County,15535,15182
Florida,Volusia County,494593,561497
Florida,Wakulla County,30776,34319
Florida,Walton County,55043,76648
Florida,Washington County,24896,25932
Georgia,Appling County,18236,18325
Georgia,Atkinson County,8375,8393
Georgia,Bacon County,11096,11036
Georgia,Baker County,3451,2971
Georgia,Baldwin County,45720,45099
Georgia,Banks County,18395,19352
Georgia,Barrow County,69367,85588
Georgia,Bartow County,100157,109426
Georgia,Ben Hill County,17634,16614
Georgia,Berrien County,19286,19408
Georgia,Bibb County,155547,152737
Georgia,Bleckley County,13063,12955
Georgia,Brantley County,18411,19202
Georgia,Brooks County,16243,15357
Georgia,Bryan County,30233,40755
Georgia,Bulloch County,70217,80839
Georgia,Burke County,23316,22648
Georgia,Butts County,23655,25426
Georgia,Calhoun County,6694,6231
Georgia,Camden County,50513,55388
Georgia,Candler County,10998,10985
Georgia,Carroll County,110527,121633
Georgia,Catoosa County,63942,67996
Georgia,Charlton County,12171,13430
Georgia,Chatham County,265128,289463
Georgia,Chattahoochee County,11267,10551
Georgia,Chattooga County,26015,24843
Georgia,Cherokee County,214346,265274
Georgia,Clarke County,116714,127795
Georgia,Clay County,3183,2866
Georgia,Clayton County,259424,292646
Georgia,Clinch County,6798,6582
Georgia,Cobb County,688078,762944
Georgia,Coffee County,42356,43218
Georgia,Colquitt County,45498,45542
Georgia,Columbia County,124053,160377
Georgia,Cook County,17212,17291
Georgia,Coweta County,127317,150849
Georgia,Crawford County,12630,12231
Georgia,Crisp County,23439,22034
Georgia,Dade County,16633,16057
Georgia,Dawson County,22330,27113
Georgia,Decatur County,27842,26457
Georgia,DeKalb County,691893,762009
Georgia,Dodge County,21796,20452
Georgia,Dooly County,14918,13174
Georgia,Dougherty County,94565,86477
Georgia,Douglas County,132403,147988
Georgia,Early County,11008,10037
Georgia,Echols County,4034,4002
Georgia,Effingham County,52250,65765
Georgia,Elbert County,20166,19335
Georgia,Emanuel County,22598,22507
Georgia,Evans County,11000,10638
Georgia,Fannin County,23682,26521
Georgia,Fayette County,106567,115821
Georgia,Floyd County,96317,98604
Georgia,Forsyth County,175511,250847
Georgia,Franklin County,22084,23504
Georgia,Fulton County,920581,1077402
Georgia,Gilmer County,28292,31978
Georgia,Glascock County,3082,2984
Georgia,Glynn County,79626,85568
Georgia,Gordon County,55186,58780
Georgia,Grady County,25011,24491
Georgia,Greene County,15994,18837
Georgia,Gwinnett County,805321,942627
Georgia,Habersham County,43041,46047
Georgia,Hall County,179684,206591
Georgia,Hancock County,9429,8494
Georgia,Haralson County,28780,30383
Georgia,Harris County,32024,36080
Georgia,Hart County,25213,26406
Georgia,Heard County,11834,11973
Georgia,Henry County,203922,239139
Georgia,Houston County,139900,160110
Georgia,Irwin County,9538,9387
Georgia,Jackson County,60485,76199
Georgia,Jasper County,13900,14483
Georgia,Jeff Davis County,15068,15213
Georgia,Jefferson County,16930,15267
Georgia,Jenkins County,8340,8746
Georgia,Johnson County,9980,9667
Georgia,Jones County,28669,28787
Georgia,Lamar County,18317,19261
Georgia,Lanier County,10078,10737
Georgia,Laurens County,48434,47512
Georgia,Lee County,28298,30234
Georgia,Liberty County,63453,63004
Georgia,Lincoln County,7996,8031
Georgia,Long County,14464,20171
Georgia,Lowndes County,109233,118268
Georgia,Lumpkin County,29966,34186
Georgia,McDuffie County,21875,21162
Georgia,McIntosh County,14333,14387
Georgia,Macon County,14740,12712
Georgia,Madison County,28120,30457
Georgia,Marion County,8742,8516
Georgia,Meriwether County,21992,21164
Georgia,Miller County,6125,5622
Georgia,Mitchell County,23498,21602
Georgia,Monroe County,26424,28042
Georgia,Montgomery County,9123,9012
Georgia,Morgan County,17868,19636
Georgia,Murray County,39628,40032
Georgia,Muscogee County,189885,196442
Georgia,Newton County,99958,113295
Georgia,Oconee County,32808,41124
Georgia,Oglethorpe County,14899,15383
Georgia,Paulding County,142324,173359
Georgia,Peach County,27695,27950
Georgia,Pickens County,29431,33127
Georgia,Pierce County,18758,19522
Georgia,Pike County,17869,19121
Georgia,Polk County,41475,42840
Georgia,Pulaski County,12010,11191
Georgia,Putnam County,21218,22520
Georgia,Quitman County,2513,2271
Georgia,Rabun County,16276,17273
Georgia,Randolph County,7719,6682
Georgia,Richmond County,200549,202079
Georgia,Rockdale County,85215,90939
Georgia,Schley County,5010,5196
Georgia,Screven County,14593,14012
Georgia,Seminole County,8729,8060
Georgia,Spalding County,64073,67414
Georgia,Stephens County,26175,26107
Georgia,Stewart County,6058,6689
Georgia,Sumter County,32819,29282
Georgia,Talbot County,6865,6143
Georgia,Taliaferro County,1717,1562
Georgia,Tattnall County,25520,25365
Georgia,Taylor County,8906,8074
Georgia,Telfair County,16500,15781
Georgia,Terrell County,9315,8523
Georgia,Thomas County,44720,44372
Georgia,Tift County,40118,40719
Georgia,Toombs County,27223,26973
Georgia,Towns County,10471,12247
Georgia,Treutlen County,6885,6822
Georgia,Troup County,67044,70214
Georgia,Turner County,8930,7882
Georgia,Twiggs County,9023,8103
Georgia,Union County,21356,25358
Georgia,Upson County,27153,26527
Georgia,Walker County,68756,70116
Georgia,Walton County,83768,96875
Georgia,Ware County,36312,35826
Georgia,Warren County,5834,5232
Georgia,Washington County,21187,20150
Georgia,Wayne County,30099,30023
Georgia,Webster County,2799,2595
Georgia,Wheeler County,7421,7751
Georgia,White County,27144,31094
Georgia,Whitfield County,102599,103837
Georgia,Wilcox County,9255,8502
Georgia,Wilkes County,10593,9694
Georgia,Wilkinson County,9563,8812
Georgia,Worth County,21679,19972
Hawaii,Hawaii County,185079,203340
Hawaii,Honolulu County,953207,963826
Hawaii,Kalawao County,90,87
Hawaii,Kauai County,67091,71851
Hawaii,Maui County,154834,167902
Idaho,Ada County,392365,494399
Idaho,Adams County,3976,4447
Idaho,Bannock County,82839,88795
Idaho,Bear Lake County,5986,6143
Idaho,Benewah County,9285,9430
Idaho,Bingham County,45607,47202
Idaho,Blaine County,21376,23426
Idaho,Boise County,7028,8065
Idaho,Bonner County,40877,46817
Idaho,Bonneville County,104234,122134
Idaho,Boundary County,10972,12656
Idaho,Butte County,2891,2646
Idaho,Camas County,1117,1130
Idaho,Canyon County,188923,237053
Idaho,Caribou County,6963,7123
Idaho,Cassia County,22952,24277
Idaho,Clark County,982,852
Idaho,Clearwater County,8761,8846
Idaho,Custer County,4368,4249
Idaho,Elmore County,27038,27448
Idaho,Franklin County,12786,14215
Idaho,Fremont County,13242,13218
Idaho,Gem County,16719,18703
Idaho,Gooding County,15464,15618
Idaho,Idaho County,16267,16823
Idaho,Jefferson County,26140,30581
Idaho,Jerome County,22374,24578
Idaho,Kootenai County,138494,170628
Idaho,Latah County,37244,40830
Idaho,Lemhi County,7936,8054
Idaho,Lewis County,3821,3838
Idaho,Lincoln County,5208,5358
Idaho,Madison County,37536,40318
Idaho,Minidoka County,20069,21216
Idaho,Nez Perce County,39265,40755
Idaho,Oneida County,4286,4520
Idaho,Owyhee County,11526,12133
Idaho,Payette County,22623,24771
Idaho,Power County,7817,7643
Idaho,Shoshone County,12765,12911
Idaho,Teton County,10170,12501
Idaho,Twin Falls County,77230,88411
Idaho,Valley County,9862,11792
Idaho,Washington County,10198,10360
Illinois,Adams County,67103,64783
Illinois,Alexander County,8238,5497
Illinois,Bond County,17768,16262
Illinois,Boone County,54165,52777
Illinois,Brown County,6937,6546
Illinois,Bureau County,34978,32303
Illinois,Calhoun County,5089,4616
Illinois,Carroll County,15387,14241
Illinois,Cass County,13642,11925
Illinois,Champaign County,201081,209192
Illinois,Christian County,34800,32075
Illinois,Clark County,16335,15268
Illinois,Clay County,13815,13079
Illinois,Clinton County,37762,37398
Illinois,Coles County,53873,50383
Illinois,Cook County,5194675,5108284
Illinois,Crawford County,19817,18512
Illinois,Cumberland County,11048,10649
Illinois,DeKalb County,105160,104491
Illinois,De Witt County,16561,15368
Illinois,Douglas County,19980,19510
Illinois,DuPage County,916924,917481
Illinois,Edgar County,18576,16858
Illinois,Edwards County,6721,6356
Illinois,Effingham County,34242,34065
Illinois,Fayette County,22140,21264
Illinois,Ford County,14081,12949
Illinois,Franklin County,39561,38060
Illinois,Fulton County,37069,33690
Illinois,Gallatin County,5589,4793
Illinois,Greene County,13886,12702
Illinois,Grundy County,50063,50993
Illinois,Hamilton County,8457,8084
Illinois,Hancock County,19104,17422
Illinois,Hardin County,4320,3808
Illinois,Henderson County,7331,6535
Illinois,Henry County,50486,48411
Illinois,Iroquois County,29718,26711
Illinois,Jackson County,60218,56675
Illinois,Jasper County,9698,9465
Illinois,Jefferson County,38827,37235
Illinois,Jersey County,22985,21616
Illinois,Jo Daviess County,22678,21239
Illinois,Johnson County,12582,12358
Illinois,Kane County,515269,531010
Illinois,Kankakee County,113449,108594
Illinois,Kendall County,114736,130638
Illinois,Knox County,52919,49053
Illinois,Lake County,703462,693593
Illinois,LaSalle County,113924,107571
Illinois,Lawrence County,16833,15467
Illinois,Lee County,36031,33647
Illinois,Livingston County,38950,35414
Illinois,Logan County,30305,28383
Illinois,McDonough County,32612,29295
Illinois,McHenry County,308760,305888
Illinois,McLean County,169572,171256
Illinois,Macon County,110768,103015
Illinois,Macoupin County,47765,44567
Illinois,Madison County,269282,262635
Illinois,Marion County,39437,37045
Illinois,Marshall County,12640,11309
Illinois,Mason County,14666,13173
Illinois,Massac County,15429,13636
Illinois,Menard County,12705,12068
Illinois,Mercer County,16434,15225
Illinois,Monroe County,32957,34739
Illinois,Montgomery County,30104,28045
Illinois,Morgan County,35547,33400
Illinois,Moultrie County,14846,14347
Illinois,Ogle County,53497,50306
Illinois,Peoria County,186494,177652
Illinois,Perry County,22350,20664
Illinois,Piatt County,16729,16355
Illinois,Pike County,16430,15239
Illinois,Pope County,4470,4142
Illinois,Pulaski County,6161,5201
Illinois,Putnam County,6006,5716
Illinois,Randolph County,33476,31351
Illinois,Richland County,16233,15507
Illinois,Rock Island County,147546,140907
Illinois,St. Clair County,270056,258046
Illinois,Saline County,24913,23182
Illinois,Sangamon County,197465,193882
Illinois,Schuyler County,7544,6738
Illinois,Scott County,5355,4950
Illinois,Shelby County,22363,21299
Illinois,Stark County,5994,5262
Illinois,Stephenson County,47711,43831
Illinois,Tazewell County,135394,130777
Illinois,Union County,17808,16498
Illinois,Vermilion County,81625,74855
Illinois,Wabash County,11947,11190
Illinois,Warren County,17707,16696
Illinois,Washington County,14716,13764
Illinois,Wayne County,16760,16031
Illinois,White County,14665,13364
Illinois,Whiteside County,58498,54656
Illinois,Will County,677560,688726
Illinois,Williamson County,66357,66415
Illinois,Winnebago County,295266,281295
Illinois,Woodford County,38664,38091
Indiana,Adams County,34387,35839
Indiana,Allen County,355329,382187
Indiana,Bartholomew County,76794,84447
Indiana,Benton County,8854,8741
Indiana,Blackford County,12766,11782
Indiana,Boone County,56640,69347
Indiana,Brown County,15242,15112
Indiana,Carroll County,20155,20228
Indiana,Cass County,38966,37388
Indiana,Clark County,110232,119266
Indiana,Clay County,26890,26246
Indiana,Clinton County,33224,32206
Indiana,Crawford County,10713,10629
Indiana,Daviess County,31648,33505
Indiana,Dearborn County,50047,49824
Indiana,Decatur County,25740,26584
Indiana,DeKalb County,42223,43670
Indiana,Delaware County,117671,113454
Indiana,Dubois County,41889,42542
Indiana,Elkhart County,197559,206161
Indiana,Fayette County,24277,22892
Indiana,Floyd County,74578,78936
Indiana,Fountain County,17240,16511
Indiana,Franklin County,23087,22761
Indiana,Fulton County,20836,20018
Indiana,Gibson County,33503,33825
Indiana,Grant County,70061,65225
Indiana,Greene County,33165,32203
Indiana,Hamilton County,274569,344238
Indiana,Hancock County,70002,79553
Indiana,Harrison County,39364,40682
Indiana,Hendricks County,145448,173251
Indiana,Henry County,49462,48033
Indiana,Howard County,82752,82732
Indiana,Huntington County,37124,36395
Indiana,Jackson County,42376,44222
Indiana,Jasper County,33478,33440
Indiana,Jay County,21253,20416
Indiana,Jefferson County,32428,32110
Indiana,Jennings County,28525,27515
Indiana,Johnson County,139654,160607
Indiana,Knox County,38440,36522
Indiana,Kosciusko County,77358,78988
Indiana,LaGrange County,37128,40119
Indiana,Lake County,496005,487536
Indiana,LaPorte County,111467,109663
Indiana,Lawrence County,46134,45496
Indiana,Madison County,131636,129681
Indiana,Marion County,903393,966183
Indiana,Marshall County,47051,46108
Indiana,Martin County,10334,10079
Indiana,Miami County,36903,35328
Indiana,Monroe County,137974,148219
Indiana,Montgomery County,38124,38365
Indiana,Morgan County,68894,70707
Indiana,Newton County,14244,13907
Indiana,Noble County,47536,47832
Indiana,Ohio County,6128,5892
Indiana,Orange County,19840,19651
Indiana,Owen County,21575,20833
Indiana,Parke County,17339,16871
Indiana,Perry County,19338,19154
Indiana,Pike County,12845,12378
Indiana,Porter County,164343,170980
Indiana,Posey County,25910,25275
Indiana,Pulaski County,13402,12388
Indiana,Putnam County,37963,37469
Indiana,Randolph County,26171,24191
Indiana,Ripley County,28818,28448
Indiana,Rush County,17392,16649
Indiana,St. Joseph County,266931,271484
Indiana,Scott County,24181,23788
Indiana,Shelby County,44436,44871
Indiana,Spencer County,20952,20225
Indiana,Starke County,23363,23049
Indiana,Steuben County,34185,34831
Indiana,Sullivan County,21475,20578
Indiana,Switzerland County,10613,10724
Indiana,Tippecanoe County,172780,196115
Indiana,Tipton County,15936,15227
Indiana,Union County,7516,7119
Indiana,Vanderburgh County,179703,182447
Indiana,Vermillion County,16212,15329
Indiana,Vigo County,107848,106608
Indiana,Wabash County,32888,30784
Indiana,Warren County,8508,8194
Indiana,Warrick County,59689,63269
Indiana,Washington County,28262,28213
Indiana,Wayne County,68917,65778
Indiana,Wells County,27636,28142
Indiana,White County,24643,24165
Indiana,Whitley County,33292,34378
Iowa,Adair County,7682,7059
Iowa,Adams County,4029,3588
Iowa,Allamakee County,14330,13642
Iowa,Appanoose County,12887,12430
Iowa,Audubon County,6119,5481
Iowa,Benton County,26076,25414
Iowa,Black Hawk County,131090,130786
Iowa,Boone County,26306,26277
Iowa,Bremer County,24276,25311
Iowa,Buchanan County,20958,21287
Iowa,Buena Vista County,20260,19772
Iowa,Butler County,14867,14333
Iowa,Calhoun County,9670,9473
Iowa,Carroll County,20816,19914
Iowa,Cass County,13956,12817
Iowa,Cedar County,18499,18485
Iowa,Cerro Gordo County,44151,42103
Iowa,Cherokee County,12072,11190
Iowa,Chickasaw County,12439,11834
Iowa,Clarke County,9286,9353
Iowa,Clay County,16667,15976
Iowa,Clayton County,18129,17321
Iowa,Clinton County,49116,46392
Iowa,Crawford County,17096,16834
Iowa,Dallas County,66135,96963
Iowa,Davis County,8753,9051
Iowa,Decatur County,8457,7769
