STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2020
Alabama,Autauga County,54571,56145
Alabama,Baldwin County,182265,229287
Alabama,Barbour County,27457,24589
Alabama,Bibb County,22915,22136
Alabama,Blount County,57322,57879
Alabama,Bullock County,10914,9976
Alabama,Butler County,20947,19504
Alabama,Calhoun County,118572,113469
Alabama,Chambers County,34215,32865
Alabama,Cherokee County,25989,26294
Alabama,Chilton County,43643,44397
Alabama,Choctaw County,13859,12418
Alabama,Clarke County,25833,23291
Alabama,Clay County,13932,13112
Alabama,Cleburne County,14972,14967
Alabama,Coffee County,49948,53230
Alabama,Colbert County,54428,55411
Alabama,Conecuh County,13228,11851
Alabama,Coosa County,11539,10650
Alabama,Covington County,37765,36930
Alabama,Crenshaw County,13906,13681
Alabama,Cullman County,80406,84515
Alabama,Dale County,50251,48959
Alabama,Dallas County,43820,36098
Alabama,DeKalb County,71109,71658
Alabama,Elmore County,79303,82158
Alabama,Escambia County,38319,36281
Alabama,Etowah County,104430,102371
Alabama,Fayette County,17241,16241
Alabama,Franklin County,31704,31507
Alabama,Geneva County,26790,26411
Alabama,Greene County,9045,7990
Alabama,Hale County,15760,14670
Alabama,Henry County,17302,17223
Alabama,Houston County,101547,106580
Alabama,Jackson County,53227,51582
Alabama,Jefferson County,658466,655342
Alabama,Lamar County,14564,13764
Alabama,Lauderdale County,92709,93368
Alabama,Lawrence County,34339,32857
Alabama,Lee County,140247,166831
Alabama,Limestone County,82782,102228
Alabama,Lowndes County,11299,9641
Alabama,Macon County,21452,17895
Alabama,Madison County,334811,379453
Alabama,Marengo County,21027,18733
Alabama,Marion County,30776,29703
Alabama,Marshall County,93019,96990
Alabama,Mobile County,412992,412716
Alabama,Monroe County,23068,20459
Alabama,Montgomery County,229363,224639
Alabama,Morgan County,119490,119883
Alabama,Perry County,10591,8687
Alabama,Pickens County,19746,19793
Alabama,Pike County,32899,32966
Alabama,Randolph County,22913,22920
Alabama,Russell County,52947,58237
Alabama,St. Clair County,83593,90739
Alabama,Shelby County,195085,221428
Alabama,Sumter County,13763,12225
Alabama,Talladega County,82291,79985
Alabama,Tallapoosa County,41616,40133
Alabama,Tuscaloosa County,194656,210758
Alabama,Walker County,67023,63143
Alabama,Washington County,17581,15976
Alabama,Wilcox County,11670,10206
Alabama,Winston County,24484,23508
Alaska,Aleutians East Borough,3141,3401
Alaska,Aleutians West Census Area,5561,5680
Alaska,Anchorage Municipality,291826,287095
Alaska,Bethel Census Area,17013,18437
Alaska,Bristol Bay Borough,997,788
Alaska,Chugach Census Area,X,6427
Alaska,Copper River Census Area,X,2919
Alaska,Denali Borough,1826,2081
Alaska,Dillingham Census Area,4847,4833
Alaska,Fairbanks North Star Borough,97581,95651
Alaska,Haines Borough,2508,2614
Alaska,Hoonah-Angoon Census Area,2150,2141
Alaska,Juneau City and Borough,31275,31849
Alaska,Kenai Peninsula Borough,55400,59414
Alaska,Ketchikan Gateway Borough,13477,13747
Alaska,Kodiak Island Borough,13592,12992
Alaska,Kusilvak Census Area,7459,8328
Alaska,Lake and Peninsula Borough,1631,1493
Alaska,Matanuska-Susitna Borough,88995,110213
Alaska,Nome Census Area,9492,9909
Alaska,North Slope Borough,9430,9294
Alaska,Northwest Arctic Borough,7523,7644
Alaska,Petersburg Borough,3815,3296
Alaska,Prince of Wales-Hyder Census Area,5559,6147
Alaska,Sitka City and Borough,8881,8405
Alaska,Skagway Municipality,968,1179
Alaska,Southeast Fairbanks Census Area,7029,6957
Alaska,Wrangell City and Borough,2369,2510
Alaska,Yakutat City and Borough,662,637
Alaska,Yukon-Koyukuk Census Area,5588,5077
Arizona,Apache County,71518,71875
Arizona,Cochise County,131346,127450
Arizona,Coconino County,134421,142481
Arizona,Gila County,53597,54303
Arizona,Graham County,37220,39211
Arizona,Greenlee County,8437,9341
Arizona,La Paz County,20489,21480
Arizona,Maricopa County,3817117,4579081
Arizona,Mohave County,200186,217206
Arizona,Navajo County,107449,112112
Arizona,Pima County,980263,1061175
Arizona,Pinal County,375770,480828
Arizona,Santa Cruz County,47420,46808
Arizona,Yavapai County,211033,240226
Arizona,Yuma County,195751,217824
Arkansas,Arkansas County,19019,17383
Arkansas,Ashley County,21853,19339
Arkansas,Baxter County,41513,42242
Arkansas,Benton County,221339,288774
Arkansas,Boone County,36903,37625
Arkansas,Bradley County,11508,10639
Arkansas,Calhoun County,5368,5113
Arkansas,Carroll County,27446,28276
Arkansas,Chicot County,11800,9924
Arkansas,Clark County,22995,22103
Arkansas,Clay County,16083,14375
Arkansas,Cleburne County,25970,24935
Arkansas,Cleveland County,8689,7957
Arkansas,Columbia County,24552,23331
Arkansas,Conway County,21273,21037
Arkansas,Craighead County,96443,112245
