STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019
Kentucky,Boone County,118811,133581
Kentucky,Bourbon County,19985,19788
Kentucky,Boyd County,49542,46718
Kentucky,Boyle County,28432,30060
Kentucky,Bracken County,8488,8303
Kentucky,Breathitt County,13878,12630
Kentucky,Breckinridge County,20059,20477
Kentucky,Bullitt County,74319,81676
Kentucky,Butler County,12690,12879
Kentucky,Caldwell County,12984,12747
Kentucky,Calloway County,37191,39001
Kentucky,Campbell County,90336,93584
Kentucky,Carlisle County,5104,4760
Kentucky,Carroll County,10811,10631
Kentucky,Carter County,27720,26797
Kentucky,Casey County,15955,16159
Kentucky,Christian County,73955,70461
Kentucky,Clark County,35613,36263
Kentucky,Clay County,21730,19901
Kentucky,Clinton County,10272,10218
Kentucky,Crittenden County,9315,8806
Kentucky,Cumberland County,6856,6614
Kentucky,Daviess County,96656,101511
Kentucky,Edmonson County,12161,12150
Kentucky,Elliott County,7852,7517
Kentucky,Estill County,14672,14106
Kentucky,Fayette County,295803,323152
Kentucky,Fleming County,14348,14581
Kentucky,Floyd County,39451,35589
Kentucky,Franklin County,49285,50991
Kentucky,Fulton County,6813,5969
Kentucky,Gallatin County,8589,8869
Kentucky,Garrard County,16912,17666
Kentucky,Grant County,24662,25069
Kentucky,Graves County,37121,37266
Kentucky,Grayson County,25746,26427
Kentucky,Green County,11258,10941
Kentucky,Greenup County,36910,35098
Kentucky,Hancock County,8565,8722
Kentucky,Hardin County,105543,110958
Kentucky,Harlan County,29278,26010
Kentucky,Harrison County,18846,18886
Kentucky,Hart County,18199,19035
Kentucky,Henderson County,46250,45210
Kentucky,Henry County,15416,16126
Kentucky,Hickman County,4902,4380
Kentucky,Hopkins County,46920,44686
Kentucky,Jackson County,13494,13329
Kentucky,Jefferson County,741096,766757
Kentucky,Jessamine County,48586,54115
Kentucky,Johnson County,23356,22188
Kentucky,Kenton County,159720,166998
Kentucky,Knott County,16346,14806
Kentucky,Knox County,31883,31145
Kentucky,Larue County,14193,14398
Kentucky,Laurel County,58849,60813
Kentucky,Lawrence County,15860,15317
Kentucky,Lee County,7887,7403
Kentucky,Leslie County,11310,9877
Kentucky,Letcher County,24519,21553
Kentucky,Lewis County,13870,13275
Kentucky,Lincoln County,24742,24549
Kentucky,Livingston County,9519,9194
Kentucky,Logan County,26835,27102
Kentucky,Lyon County,8314,8210
Kentucky,McCracken County,65565,65418
Kentucky,McCreary County,18306,17231
Kentucky,McLean County,9531,9207
Kentucky,Madison County,82916,92987
Kentucky,Magoffin County,13333,12161
Kentucky,Marion County,19820,19273
Kentucky,Marshall County,31448,31100
Kentucky,Martin County,12929,11195
Kentucky,Mason County,17490,17070
Kentucky,Meade County,28602,28572
Kentucky,Menifee County,6306,6489
Kentucky,Mercer County,21331,21933
Kentucky,Metcalfe County,10099,10071
Kentucky,Monroe County,10963,10650
Kentucky,Montgomery County,26499,28157
Kentucky,Morgan County,13923,13309
Kentucky,Muhlenberg County,31499,30622
Kentucky,Nelson County,43437,46233
Kentucky,Nicholas County,7135,7269
Kentucky,Ohio County,23842,23994
Kentucky,Oldham County,60316,66799
Kentucky,Owen County,10841,10901
Kentucky,Owsley County,4755,4415
Kentucky,Pendleton County,14877,14590
Kentucky,Perry County,28712,25758
Kentucky,Pike County,65024,57876
Kentucky,Powell County,12613,12359
Kentucky,Pulaski County,63063,64979
Kentucky,Robertson County,2282,2108
Kentucky,Rockcastle County,17056,16695
Kentucky,Rowan County,23333,24460
Kentucky,Russell County,17565,17923
Kentucky,Scott County,47173,57004
Kentucky,Shelby County,42074,49024
Kentucky,Simpson County,17327,18572
Kentucky,Spencer County,17061,19351
Kentucky,Taylor County,24512,25769
Kentucky,Todd County,12460,12294
Kentucky,Trigg County,14339,14651
Kentucky,Trimble County,8809,8471
Kentucky,Union County,15007,14381
Kentucky,Warren County,113792,132896
Kentucky,Washington County,11717,12095
Kentucky,Wayne County,20813,20333
Kentucky,Webster County,13621,12942
Kentucky,Whitley County,35637,36264
Kentucky,Wolfe County,7355,7157
Kentucky,Woodford County,24939,26734
Louisiana,Acadia Parish,61773,62045
Louisiana,Allen Parish,25764,25627
Louisiana,Ascension Parish,107215,126604
Louisiana,Assumption Parish,23421,21891
Louisiana,Avoyelles Parish,42073,40144
Louisiana,Beauregard Parish,35654,37497
Louisiana,Bienville Parish,14353,13241
Louisiana,Bossier Parish,116979,127039
Louisiana,Caddo Parish,254969,240204
Louisiana,Calcasieu Parish,192768,203436
Louisiana,Caldwell Parish,10132,9918
Louisiana,Cameron Parish,6839,6973
Louisiana,Catahoula Parish,10407,9494
Louisiana,Claiborne Parish,17195,15670
Louisiana,Concordia Parish,20822,19259
Louisiana,De Soto Parish,26656,27463
Louisiana,East Baton Rouge Parish,440171,440059
Louisiana,East Carroll Parish,7759,6861
Louisiana,East Feliciana Parish,20267,19135
Louisiana,Evangeline Parish,33984,33395
Louisiana,Franklin Parish,20767,20015
Louisiana,Grant Parish,22309,22389
Louisiana,Iberia Parish,73240,69830
Louisiana,Iberville Parish,33387,32511
Louisiana,Jackson Parish,16274,15744
Louisiana,Jefferson Parish,432552,432493
Louisiana,Jefferson Davis Parish,31594,31368
Louisiana,Lafayette Parish,221578,244390
Louisiana,Lafourche Parish,96318,97614
Louisiana,LaSalle Parish,14890,14892
Louisiana,Lincoln Parish,46735,46742
Louisiana,Livingston Parish,128026,140789
Louisiana,Madison Parish,12093,10951
Louisiana,Morehouse Parish,27979,24874
Louisiana,Natchitoches Parish,39566,38158
Louisiana,Orleans Parish,343829,390144
Louisiana,Ouachita Parish,153720,153279
Louisiana,Plaquemines Parish,23042,23197
Louisiana,Pointe Coupee Parish,22802,21730
Louisiana,Rapides Parish,131613,129648
Louisiana,Red River Parish,9091,8442
Louisiana,Richland Parish,20725,20122
Louisiana,Sabine Parish,24233,23884
Louisiana,St. Bernard Parish,35897,47244
Louisiana,St. Charles Parish,52780,53100
Louisiana,St. Helena Parish,11203,10132
Louisiana,St. James Parish,22102,21096
Louisiana,St. John the Baptist Parish,45924,42837
Louisiana,St. Landry Parish,83384,82124
Louisiana,St. Martin Parish,52160,53431
Louisiana,St. Mary Parish,54650,49348
Louisiana,St. Tammany Parish,233740,260419
Louisiana,Tangipahoa Parish,121097,134758
Louisiana,Tensas Parish,5252,4334
Louisiana,Terrebonne Parish,111860,110461
Louisiana,Union Parish,22721,22108
Louisiana,Vermilion Parish,57999,59511
Louisiana,Vernon Parish,52334,47429
Louisiana,Washington Parish,47168,46194
Louisiana,Webster Parish,41207,38340
Louisiana,West Baton Rouge Parish,23788,26465
Louisiana,West Carroll Parish,11604,10830
Louisiana,West Feliciana Parish,15625,15568
Louisiana,Winn Parish,15313,13904
Maine,Androscoggin County,107702,108277
Maine,Aroostook County,71870,67055
Maine,Cumberland County,281674,295003
Maine,Franklin County,30768,30199
Maine,Hancock County,54418,54987
Maine,Kennebec County,122151,122302
Maine,Knox County,39736,39772
Maine,Lincoln County,34457,34634
Maine,Oxford County,57833,57975
Maine,Penobscot County,153923,152148
Maine,Piscataquis County,17535,16785
Maine,Sagadahoc County,35293,35856
Maine,Somerset County,52228,50484
Maine,Waldo County,38786,39715
Maine,Washington County,32856,31379
Maine,York County,197131,207641
Maryland,Allegany County,75087,70416
Maryland,Anne Arundel County,537656,579234
Maryland,Baltimore County,805029,827370
Maryland,Calvert County,88737,92525
Maryland,Caroline County,33066,33406
Maryland,Carroll County,167134,168447
Maryland,Cecil County,101108,102855
Maryland,Charles County,146551,163257
Maryland,Dorchester County,32618,31929
Maryland,Frederick County,233385,259547
Maryland,Garrett County,30097,29014
Maryland,Harford County,244826,255441
Maryland,Howard County,287085,325690
Maryland,Kent County,20197,19422
Maryland,Montgomery County,971777,1050688
Maryland,Prince George's County,863420,909327
Maryland,Queen Anne's County,47798,50381
Maryland,St. Mary's County,105151,113510
Maryland,Somerset County,26470,25616
Maryland,Talbot County,37782,37181
Maryland,Washington County,147430,151049
Maryland,Wicomico County,98733,103609
Maryland,Worcester County,51454,52276
Maryland,Baltimore city,620961,593490
Massachusetts,Barnstable County,215888,212990
Massachusetts,Berkshire County,131219,124944
Massachusetts,Bristol County,548285,565217
Massachusetts,Dukes County,16535,17332
Massachusetts,Essex County,743159,789034
Massachusetts,Franklin County,71372,70180
Massachusetts,Hampden County,463490,466372
Massachusetts,Hampshire County,158080,160830
Massachusetts,Middlesex County,1503085,1611699
Massachusetts,Nantucket County,10172,11399
Massachusetts,Norfolk County,670850,706775
Massachusetts,Plymouth County,494919,521202
Massachusetts,Suffolk County,722023,803907
Massachusetts,Worcester County,798552,830622
Michigan,Alcona County,10942,10405
Michigan,Alger County,9601,9108
Michigan,Allegan County,111408,118081
Michigan,Alpena County,29598,28405
Michigan,Antrim County,23580,23324
Michigan,Arenac County,15899,14883
Michigan,Baraga County,8860,8209
Michigan,Barry County,59173,61550
Michigan,Bay County,107771,103126
Michigan,Benzie County,17525,17766
Michigan,Berrien County,156813,153401
Michigan,Branch County,45248,43517
Michigan,Calhoun County,136146,134159
Michigan,Cass County,52293,51787
Michigan,Charlevoix County,25949,26143
Michigan,Cheboygan County,26152,25276
Michigan,Chippewa County,38520,37349
Michigan,Clare County,30926,30950
Michigan,Clinton County,75382,79595
Michigan,Crawford County,14074,14029
Michigan,Delta County,37069,35784
Michigan,Dickinson County,26168,25239
Michigan,Eaton County,107759,110268
Michigan,Emmet County,32694,33415
Michigan,Genesee County,425790,405813
Michigan,Gladwin County,25692,25449
Michigan,Gogebic County,16427,13975
Michigan,Grand Traverse County,86986,93088
Michigan,Gratiot County,42476,40711
Michigan,Hillsdale County,46688,45605
Michigan,Houghton County,36628,35684
Michigan,Huron County,33118,30981
Michigan,Ingham County,280895,292406
Michigan,Ionia County,63905,64697
Michigan,Iosco County,25887,25127
Michigan,Iron County,11817,11066
Michigan,Isabella County,70311,69872
Michigan,Jackson County,160248,158510
Michigan,Kalamazoo County,250331,265066
Michigan,Kalkaska County,17153,18038
Michigan,Kent County,602622,656955
Michigan,Keweenaw County,2156,2116
Michigan,Lake County,11539,11853
Michigan,Lapeer County,88319,87607
Michigan,Leelanau County,21708,21761
Michigan,Lenawee County,99892,98451
Michigan,Livingston County,180967,191995
Michigan,Luce County,6631,6229
Michigan,Mackinac County,11113,10799
Michigan,Macomb County,840978,873972
Michigan,Manistee County,24733,24558
Michigan,Marquette County,67077,66699
Michigan,Mason County,28705,29144
Michigan,Mecosta County,42798,43453
Michigan,Menominee County,24029,22780
Michigan,Midland County,83629,83156
Michigan,Missaukee County,14849,15118
Michigan,Monroe County,152021,150500
Michigan,Montcalm County,63342,63888
Michigan,Montmorency County,9765,9328
Michigan,Muskegon County,172188,173566
Michigan,Newaygo County,48460,48980
Michigan,Oakland County,1202362,1257584
Michigan,Oceana County,26570,26467
Michigan,Ogemaw County,21699,20997
Michigan,Ontonagon County,6780,5720
Michigan,Osceola County,23528,23460
Michigan,Oscoda County,8640,8241
Michigan,Otsego County,24164,24668
Michigan,Ottawa County,263801,291830
Michigan,Presque Isle County,13376,12592
Michigan,Roscommon County,24449,24019
Michigan,Saginaw County,200169,190539
Michigan,St. Clair County,163040,159128
Michigan,St. Joseph County,61295,60964
Michigan,Sanilac County,43114,41170
Michigan,Schoolcraft County,8485,8094
Michigan,Shiawassee County,70648,68122
Michigan,Tuscola County,55729,52245
Michigan,Van Buren County,76258,75677
Michigan,Washtenaw County,344791,367601
Michigan,Wayne County,1820584,1749343
Michigan,Wexford County,32735,33631
Minnesota,Aitkin County,16202,15886
Minnesota,Anoka County,330844,356921
Minnesota,Becker County,32504,34423
Minnesota,Beltrami County,44442,47188
Minnesota,Benton County,38451,40889
Minnesota,Big Stone County,5269,4991
Minnesota,Blue Earth County,64013,67653
Minnesota,Brown County,25893,25008
Minnesota,Carlton County,35386,35871
Minnesota,Carver County,91042,105089
Minnesota,Cass County,28567,29779
Minnesota,Chippewa County,12441,11800
Minnesota,Chisago County,53887,56579
Minnesota,Clay County,58999,64222
Minnesota,Clearwater County,8695,8818
Minnesota,Cook County,5176,5463
Minnesota,Cottonwood County,11687,11196
Minnesota,Crow Wing County,62500,65055
Minnesota,Dakota County,398552,429021
Minnesota,Dodge County,20087,20934
Minnesota,Douglas County,36009,38141
Minnesota,Faribault County,14553,13653
Minnesota,Fillmore County,20866,21067
Minnesota,Freeborn County,31255,30281
Minnesota,Goodhue County,46183,46340
Minnesota,Grant County,6018,5972
Minnesota,Hennepin County,1152425,1265843
Minnesota,Houston County,19027,18600
Minnesota,Hubbard County,20428,21491
Minnesota,Isanti County,37816,40596
Minnesota,Itasca County,45058,45130
Minnesota,Jackson County,10266,9846
Minnesota,Kanabec County,16239,16337
Minnesota,Kandiyohi County,42239,43199
Minnesota,Kittson County,4552,4298
Minnesota,Koochiching County,13311,12229
Minnesota,Lac qui Parle County,7259,6623
Minnesota,Lake County,10866,10641
Minnesota,Lake of the Woods County,4045,3740
Minnesota,Le Sueur County,27703,28887
Minnesota,Lincoln County,5896,5639
Minnesota,Lyon County,25857,25474
Minnesota,McLeod County,36651,35893
Minnesota,Mahnomen County,5413,5527
Minnesota,Marshall County,9439,9336
Minnesota,Martin County,20840,19683
Minnesota,Meeker County,23300,23222
Minnesota,Mille Lacs County,26097,26277
Minnesota,Morrison County,33198,33386
Minnesota,Mower County,39163,40062
Minnesota,Murray County,8725,8194
Minnesota,Nicollet County,32727,34274
Minnesota,Nobles County,21378,21629
Minnesota,Norman County,6852,6375
Minnesota,Olmsted County,144248,158293
Minnesota,Otter Tail County,57303,58746
Minnesota,Pennington County,13930,14119
Minnesota,Pine County,29750,29579
Minnesota,Pipestone County,9596,9126
Minnesota,Polk County,31600,31364
Minnesota,Pope County,10995,11249
Minnesota,Ramsey County,508640,550321
Minnesota,Red Lake County,4089,4055
Minnesota,Redwood County,16059,15170
Minnesota,Renville County,15730,14548
Minnesota,Rice County,64142,66972
Minnesota,Rock County,9687,9315
Minnesota,Roseau County,15629,15165
Minnesota,St. Louis County,200226,199070
Minnesota,Scott County,129928,149013
Minnesota,Sherburne County,88499,97238
Minnesota,Sibley County,15226,14865
Minnesota,Stearns County,150642,161075
Minnesota,Steele County,36576,36649
Minnesota,Stevens County,9726,9805
Minnesota,Swift County,9783,9266
Minnesota,Todd County,24895,24664
Minnesota,Traverse County,3558,3259
Minnesota,Wabasha County,21676,21627
Minnesota,Wadena County,13843,13682
Minnesota,Waseca County,19136,18612
Minnesota,Washington County,238136,262440
Minnesota,Watonwan County,11211,10897
Minnesota,Wilkin County,6576,6207
Minnesota,Winona County,51461,50484
Minnesota,Wright County,124700,138377
Minnesota,Yellow Medicine County,10438,9709
Mississippi,Adams County,32297,30693
Mississippi,Alcorn County,37057,36953
Mississippi,Amite County,13131,12297
Mississippi,Attala County,19564,18174
Mississippi,Benton County,8729,8259
Mississippi,Bolivar County,34145,30628
Mississippi,Calhoun County,14962,14361
Mississippi,Carroll County,10597,9947
Mississippi,Chickasaw County,17392,17103
Mississippi,Choctaw County,8547,8210
Mississippi,Claiborne County,9604,8988
Mississippi,Clarke County,16732,15541
Mississippi,Clay County,20634,19316
Mississippi,Coahoma County,26151,22124
Mississippi,Copiah County,29449,28065
Mississippi,Covington County,19568,18636
Mississippi,DeSoto County,161252,184945
Mississippi,Forrest County,74934,74897
Mississippi,Franklin County,8118,7713
Mississippi,George County,22578,24500
Mississippi,Greene County,14400,13586
Mississippi,Grenada County,21906,20758
Mississippi,Hancock County,43929,47632
Mississippi,Harrison County,187105,208080
Mississippi,Hinds County,245285,231840
Mississippi,Holmes County,19198,17010
Mississippi,Humphreys County,9375,8064
Mississippi,Issaquena County,1406,1327
Mississippi,Itawamba County,23401,23390
Mississippi,Jackson County,139668,143617
Mississippi,Jasper County,17062,16383
Mississippi,Jefferson County,7726,6990
Mississippi,Jefferson Davis County,12487,11128
Mississippi,Jones County,67761,68098
Mississippi,Kemper County,10456,9742
Mississippi,Lafayette County,47351,54019
Mississippi,Lamar County,55658,63343
Mississippi,Lauderdale County,80261,74125
Mississippi,Lawrence County,12929,12586
Mississippi,Leake County,23805,22786
Mississippi,Lee County,82910,85436
Mississippi,Leflore County,32317,28183
Mississippi,Lincoln County,34869,34153
Mississippi,Lowndes County,59779,58595
Mississippi,Madison County,95203,106272
Mississippi,Marion County,27088,24573
Mississippi,Marshall County,37144,35294
Mississippi,Monroe County,36989,35252
Mississippi,Montgomery County,10925,9775
Mississippi,Neshoba County,29676,29118
Mississippi,Newton County,21720,21018
Mississippi,Noxubee County,11545,10417
Mississippi,Oktibbeha County,47671,49587
Mississippi,Panola County,34707,34192
Mississippi,Pearl River County,55834,55535
Mississippi,Perry County,12250,11973
Mississippi,Pike County,40404,39288
Mississippi,Pontotoc County,29957,32174
Mississippi,Prentiss County,25276,25126
Mississippi,Quitman County,8223,6792
Mississippi,Rankin County,141617,155271
Mississippi,Scott County,28264,28124
Mississippi,Sharkey County,4916,4321
Mississippi,Simpson County,27503,26658
Mississippi,Smith County,16491,15916
Mississippi,Stone County,17786,18336
Mississippi,Sunflower County,29450,25110
Mississippi,Tallahatchie County,15378,13809
Mississippi,Tate County,28886,28321
Mississippi,Tippah County,22232,22015
Mississippi,Tishomingo County,19593,19383
Mississippi,Tunica County,10778,9632
Mississippi,Union County,27134,28815
Mississippi,Walthall County,15443,14286
Mississippi,Warren County,48773,45381
Mississippi,Washington County,51137,43909
Mississippi,Wayne County,20747,20183
Mississippi,Webster County,10253,9689
Mississippi,Wilkinson County,9878,8630
Mississippi,Winston County,19198,17955
Mississippi,Yalobusha County,12678,12108
Mississippi,Yazoo County,28065,29690
Missouri,Adair County,25607,25343
Missouri,Andrew County,17291,17712
Missouri,Atchison County,5685,5143
Missouri,Audrain County,25529,25388
Missouri,Barry County,35597,35789
Missouri,Barton County,12402,11754
Missouri,Bates County,17049,16172
Missouri,Benton County,19056,19443
Missouri,Bollinger County,12363,12133
Missouri,Boone County,162642,180463
Missouri,Buchanan County,89201,87364
Missouri,Butler County,42794,42478
Missouri,Caldwell County,9424,9020
Missouri,Callaway County,44332,44743
Missouri,Camden County,44002,46305
Missouri,Cape Girardeau County,75674,78871
Missouri,Carroll County,9295,8679
Missouri,Carter County,6265,5982
Missouri,Cass County,99478,105780
Missouri,Cedar County,13982,14349
Missouri,Chariton County,7831,7426
Missouri,Christian County,77422,88595
Missouri,Clark County,7139,6797
Missouri,Clay County,221939,249948
Missouri,Clinton County,20743,20387
Missouri,Cole County,75990,76745
Missouri,Cooper County,17601,17709
Missouri,Crawford County,24696,23920
Missouri,Dade County,7883,7561
Missouri,Dallas County,16777,16878
Missouri,Daviess County,8433,8278
Missouri,DeKalb County,12892,12547
Missouri,Dent County,15657,15573
Missouri,Douglas County,13684,13185
Missouri,Dunklin County,31953,29131
Missouri,Franklin County,101492,103967
Missouri,Gasconade County,15222,14706
Missouri,Gentry County,6738,6571
Missouri,Greene County,275174,293086
Missouri,Grundy County,10261,9850
Missouri,Harrison County,8957,8352
Missouri,Henry County,22272,21824
Missouri,Hickory County,9627,9544
Missouri,Holt County,4912,4403
Missouri,Howard County,10144,10001
Missouri,Howell County,40400,40117
Missouri,Iron County,10630,10125
Missouri,Jackson County,674158,703011
Missouri,Jasper County,117404,121328
Missouri,Jefferson County,218733,225081
Missouri,Johnson County,52595,54062
Missouri,Knox County,4131,3959
Missouri,Laclede County,35571,35723
Missouri,Lafayette County,33381,32708
Missouri,Lawrence County,38634,38355
Missouri,Lewis County,10211,9776
Missouri,Lincoln County,52566,59013
Missouri,Linn County,12761,11920
Missouri,Livingston County,15195,15227
Missouri,McDonald County,23083,22837
Missouri,Macon County,15566,15117
Missouri,Madison County,12226,12088
Missouri,Maries County,9176,8697
Missouri,Marion County,28781,28530
Missouri,Mercer County,3785,3617
Missouri,Miller County,24748,25619
Missouri,Mississippi County,14358,13180
Missouri,Moniteau County,15607,16132
Missouri,Monroe County,8840,8644
Missouri,Montgomery County,12236,11551
Missouri,Morgan County,20565,20627
Missouri,New Madrid County,18956,17076
Missouri,Newton County,58114,58236
Missouri,Nodaway County,23370,22092
Missouri,Oregon County,10881,10529
Missouri,Osage County,13878,13615
Missouri,Ozark County,9723,9174
Missouri,Pemiscot County,18296,15805
Missouri,Perry County,18971,19136
Missouri,Pettis County,42201,42339
Missouri,Phelps County,45156,44573
Missouri,Pike County,18516,18302
Missouri,Platte County,89322,104418
Missouri,Polk County,31137,32149
Missouri,Pulaski County,52274,52607
Missouri,Putnam County,4979,4696
Missouri,Ralls County,10167,10309
Missouri,Randolph County,25414,24748
Missouri,Ray County,23494,23018
Missouri,Reynolds County,6696,6270
Missouri,Ripley County,14100,13288
Missouri,St. Charles County,360485,402022
Missouri,St. Clair County,9805,9397
Missouri,Ste. Genevieve County,18145,17894
Missouri,St. Francois County,65359,67215
Missouri,St. Louis County,998954,994205
Missouri,Saline County,23370,22761
Missouri,Schuyler County,4431,4660
Missouri,Scotland County,4843,4902
Missouri,Scott County,39191,38280
Missouri,Shannon County,8441,8166
Missouri,Shelby County,6373,5930
Missouri,Stoddard County,29968,29025
Missouri,Stone County,32202,31952
Missouri,Sullivan County,6714,6089
Missouri,Taney County,51675,55928
Missouri,Texas County,26008,25398
Missouri,Vernon County,21159,20563
Missouri,Warren County,32513,35649
Missouri,Washington County,25195,24730
Missouri,Wayne County,13521,12873
Missouri,Webster County,36202,39592
Missouri,Worth County,2171,2013
Missouri,Wright County,18815,18289
Missouri,St. Louis city,319294,300576
Montana,Beaverhead County,9246,9453
Montana,Big Horn County,12865,13319
Montana,Blaine County,6491,6681
Montana,Broadwater County,5612,6237
Montana,Carbon County,10078,10725
Montana,Carter County,1160,1252
Montana,Cascade County,81327,81366
Montana,Chouteau County,5813,5635
Montana,Custer County,11699,11402
Montana,Daniels County,1751,1690
Montana,Dawson County,8966,8613
Montana,Deer Lodge County,9298,9140
Montana,Fallon County,2890,2846
Montana,Fergus County,11586,11050
Montana,Flathead County,90928,103806
Montana,Gallatin County,89513,114434
Montana,Garfield County,1206,1258
Montana,Glacier County,13399,13753
Montana,Golden Valley County,884,821
Montana,Granite County,3079,3379
Montana,Hill County,16096,16484
Montana,Jefferson County,11406,12221
Montana,Judith Basin County,2072,2007
Montana,Lake County,28746,30458
Montana,Lewis and Clark County,63395,69432
Montana,Liberty County,2339,2337
Montana,Lincoln County,19687,19980
Montana,McCone County,1734,1664
Montana,Madison County,7691,8600
Montana,Meagher County,1891,1862
Montana,Mineral County,4223,4397
Montana,Missoula County,109299,119600
Montana,Musselshell County,4538,4633
Montana,Park County,15636,16606
Montana,Petroleum County,494,487
Montana,Phillips County,4253,3954
Montana,Pondera County,6153,5911
Montana,Powder River County,1743,1682
Montana,Powell County,7027,6890
Montana,Prairie County,1179,1077
Montana,Ravalli County,40212,43806
Montana,Richland County,9746,10803
Montana,Roosevelt County,10425,11004
Montana,Rosebud County,9233,8937
Montana,Sanders County,11413,12113
Montana,Sheridan County,3384,3309
Montana,Silver Bow County,34200,34915
Montana,Stillwater County,9117,9642
Montana,Sweet Grass County,3651,3737
Montana,Teton County,6073,6147
Montana,Toole County,5324,4736
Montana,Treasure County,718,696
Montana,Valley County,7369,7396
Montana,Wheatland County,2168,2126
Montana,Wibaux County,1017,969
Montana,Yellowstone County,147972,161300
Nebraska,Adams County,31364,31363
Nebraska,Antelope County,6685,6298
Nebraska,Arthur County,460,463
Nebraska,Banner County,690,745
Nebraska,Blaine County,478,465
Nebraska,Boone County,5505,5192
Nebraska,Box Butte County,11308,10783
Nebraska,Boyd County,2099,1919
Nebraska,Brown County,3145,2955
Nebraska,Buffalo County,46102,49659
Nebraska,Burt County,6858,6459
Nebraska,Butler County,8395,8016
Nebraska,Cass County,25241,26248
Nebraska,Cedar County,8852,8402
Nebraska,Chase County,3966,3924
Nebraska,Cherry County,5713,5689
Nebraska,Cheyenne County,9998,8910
Nebraska,Clay County,6542,6203
Nebraska,Colfax County,10515,10709
Nebraska,Cuming County,9139,8846
Nebraska,Custer County,10939,10777
Nebraska,Dakota County,21006,20026
Nebraska,Dawes County,9182,8589
Nebraska,Dawson County,24326,23595
Nebraska,Deuel County,1941,1794
Nebraska,Dixon County,6000,5636
Nebraska,Dodge County,36691,36565
Nebraska,Douglas County,517110,571327
Nebraska,Dundy County,2008,1693
Nebraska,Fillmore County,5890,5462
Nebraska,Franklin County,3225,2979
Nebraska,Frontier County,2756,2627
Nebraska,Furnas County,4959,4676
Nebraska,Gage County,22311,21513
Nebraska,Garden County,2057,1837
Nebraska,Garfield County,2049,1969
Nebraska,Gosper County,2044,1990
Nebraska,Grant County,614,623
Nebraska,Greeley County,2538,2356
Nebraska,Hall County,58607,61353
Nebraska,Hamilton County,9124,9324
Nebraska,Harlan County,3423,3380
Nebraska,Hayes County,967,922
Nebraska,Hitchcock County,2908,2762
Nebraska,Holt County,10435,10067
Nebraska,Hooker County,736,682
Nebraska,Howard County,6274,6445
Nebraska,Jefferson County,7547,7046
Nebraska,Johnson County,5217,5071
Nebraska,Kearney County,6489,6495
Nebraska,Keith County,8368,8034
Nebraska,Keya Paha County,824,806
Nebraska,Kimball County,3821,3632
Nebraska,Knox County,8701,8332
Nebraska,Lancaster County,285407,319090
Nebraska,Lincoln County,36288,34914
Nebraska,Logan County,763,748
Nebraska,Loup County,632,664
Nebraska,McPherson County,539,494
Nebraska,Madison County,34876,35099
Nebraska,Merrick County,7845,7755
Nebraska,Morrill County,5042,4642
Nebraska,Nance County,3735,3519
Nebraska,Nemaha County,7248,6972
Nebraska,Nuckolls County,4500,4148
Nebraska,Otoe County,15740,16012
Nebraska,Pawnee County,2773,2613
Nebraska,Perkins County,2970,2891
Nebraska,Phelps County,9188,9034
Nebraska,Pierce County,7266,7148
Nebraska,Platte County,32237,33470
Nebraska,Polk County,5406,5213
Nebraska,Red Willow County,11055,10724
Nebraska,Richardson County,8363,7865
Nebraska,Rock County,1526,1357
Nebraska,Saline County,14200,14224
Nebraska,Sarpy County,158840,187196
Nebraska,Saunders County,20780,21578
Nebraska,Scotts Bluff County,36970,35618
Nebraska,Seward County,16750,17284
Nebraska,Sheridan County,5469,5246
Nebraska,Sherman County,3152,3001
Nebraska,Sioux County,1311,1166
Nebraska,Stanton County,6129,5920
Nebraska,Thayer County,5228,5003
Nebraska,Thomas County,647,722
Nebraska,Thurston County,6940,7224
Nebraska,Valley County,4260,4158
Nebraska,Washington County,20234,20729
Nebraska,Wayne County,9595,9385
Nebraska,Webster County,3812,3487
Nebraska,Wheeler County,818,783
Nebraska,York County,13665,13679
Nevada,Churchill County,24877,24909
Nevada,Clark County,1951269,2266715
Nevada,Douglas County,46997,48905
Nevada,Elko County,48818,52778
Nevada,Esmeralda County,783,873
Nevada,Eureka County,1987,2029
Nevada,Humboldt County,16528,16831
Nevada,Lander County,5775,5532
Nevada,Lincoln County,5345,5183
Nevada,Lyon County,51980,57510
Nevada,Mineral County,4772,4505
Nevada,Nye County,43946,46523
Nevada,Pershing County,6753,6725
Nevada,Storey County,4010,4123
Nevada,Washoe County,421407,471519
Nevada,White Pine County,10030,9580
Nevada,Carson City,55274,55916
New Hampshire,Belknap County,60088,61303
New Hampshire,Carroll County,47818,48910
New Hampshire,Cheshire County,77117,76085
New Hampshire,Coos County,33055,31563
New Hampshire,Grafton County,89118,89886
New Hampshire,Hillsborough County,400721,417025
New Hampshire,Merrimack County,146445,151391
New Hampshire,Rockingham County,295223,309769
New Hampshire,Strafford County,123143,130633
New Hampshire,Sullivan County,43742,43146
New Jersey,Atlantic County,274549,263670
New Jersey,Bergen County,905116,932202
New Jersey,Burlington County,448734,445349
New Jersey,Camden County,513657,506471
New Jersey,Cape May County,97265,92039
New Jersey,Cumberland County,156898,149527
New Jersey,Essex County,783969,798975
